(Internal) id;(Source) id;Title;Authors;Publication type;Abstract;Abstract Screening Phase;Full-text screening phase;Reason of exclusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22444977;pi341;Fostering learner autonomy: Power and reciprocity in the relationship between language learner and language learning adviser;Ciekanski M;Journal Article;Developments in lifelong learning and learner autonomy have given fresh impetus to the debate about learning without formal teaching. This paper concerns the educational relationship between learner and adviser in self-directed schemes. Two French self-directed language learning set-ups were observed, one situated at university level (Syst�me d'apprentissage autodirig� avec soutien, Universit� Nancy 2), the second in a lifelong learning institution (Apprentissage en semi-autonomie, CNAM, Paris), and both dealing with adult language learners. Observations of 31 advising sessions between four learners and four experienced advisers suggest that the latter assume multiple modified pedagogical roles when assisting learners and that they switch between these roles frequently with the same learner. To understand the nature and the purpose of these variations in advising, the study focuses on the linguistic and educational aspects which characterize the advising sessions. Interviews with the advisers and learners were also carried out. These were designed to analyze the nature of advising practices viewed as professional practice. Their analysis highlights the determinants of the advisers' educational strategies, the perception of advising standards and the maintenance and evolution of their 'professional gestures'. The concept of educational reciprocity provides a useful framework for an understanding of the specific pedagogical relationship of language advising sessions. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23080800;pi342;Task-dependent modulation of functional connectivity between hand motor cortices and neuronal networks underlying language and music: A transcranial magnetic stimulation study in humans;"Sparing R; Meister I G; Wienemann M; Buelte D; Staedtgen M; Boroojerdi B";Journal Article;Although language functions are, in general, attributed to the left hemisphere, it is still a matter of debate to what extent the cognitive functions underlying the processing of music are lateralized in the human brain. To investigate hemispheric specialization we evaluated the effect of different overt musical and linguistic tasks on the excitability of both left and right hand motor cortices using transcranial magnetic stimulation (TMS). Task-dependent changes of the size of the TMS-elicited motor evoked potentials were recorded in 12 right-handed, musically naive subjects during and after overt speech, singing and humming, i.e. the production of melody without word articulation. The articulation of meaningless syllables served as control condition. We found reciprocal lateralized effects of overt speech and musical tasks on motor cortex excitability. During overt speech, the corticospinal projection of the left (i.e. dominant) hemisphere to the right hand was facilitated. In contrast, excitability of the right motor cortex increased during both overt singing and humming, whereas no effect was observed on the left hemisphere. Although the traditional concept of hemispheric lateralization of music has been challenged by recent neuroimaging studies, our findings demonstrate that right-hemisphere preponderance of music is nevertheless present. We discuss our results in terms of the recent concepts on evolution of language and gesture, which hypothesize that cerebral networks mediating hand movement and those subserving language processing are functionally linked. TMS may constitute a useful tool to further investigate the relationship between cortical representations of motor functions, music and language using comparative approaches. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445307;pi343;The role of the hand in the evolution of language;Place U T;Journal Article;"Examined the role of the hand in the evolution of language. Section I sets out 4 principles which should guide any attempt to reconstruct the evolution of an existing biological characteristic. Section II sets out 13 principles specific to a reconstruction of the evolution of language. Section III sets out 11 pieces of evidence for the view that vocal language must have been preceded by an earlier language of gesture. Based on those principles and evidence, Section IV sets out 7 proposed stages in the process whereby language evolved: (1) the use of mimed movement to indicate an action to be performed; (2) the development of referential pointing which, when combined with mimed movement, leads to a language of gesture; (3) the development of vocalisation, initially as a way of imitating the calls of animals; (4) counting on the fingers leading into (5) the development of symbolic as distinct from iconic representation; (6) the introduction of the practice of question and answer; and (7) the emergence of syntax as a way of disambiguating utterances that can otherwise be disambiguated only by gesture. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445322;pi344;Protolanguage in ontogeny and phylogeny: Combining deixis and representation;"Greenfield P; Lyn H; Savage-Rumbaugh S";Journal Article;We approach the issue of holophrasis versus compositionality in the emergence of protolanguage by analyzing the earliest combinatorial constructions in child, bonobo, and chimpanzee: messages consisting of one symbol combined with one gesture. Based on evidence from apes learning an interspecies visual communication system and children acquiring a first language, we conclude that the potential to combine two different kinds of semiotic element--deictic and representational--was fundamental to the protolanguage forming the foundation for the earliest human language. This is a form of compositionality, in that each communicative element stands for a single semantic element. The conclusion that human protolanguage was exclusively holophrastic--containing a proposition in a single word--emerges only if one considers the symbol alone, without taking into account the gesture as a second element comprising the total message. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445643;pi345;Introduction: Gesture, ritual and memory;Bouissac P;Journal Article;The articles brought together in this special issue of Gesture (Vol 6[2]) are selected from the proceedings of a symposium that took place at the University of Toronto (Victoria College) in May 2004, and on a series of research seminars on the same topic organized during the following academic year. The symposium, titled 'Gesture, Ritual and Memory' and the subsequent meetings which were designed to further explore some of the problems raised during the symposium discussions, involved representatives of several disciplines: developmental psychology, evolutionary biology, cultural anthropology, linguistics, history of religions, communication and literary studies. The papers are briefly summarized. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445233;pi346;Evolution of the generative mind;Corballis M C;Book Chapter;In evolution, the increase in brain size and the prolongation of postnatal brain growth that was necessary for this development may have taken place over the past 2 million years. Hominid evolution can be divided into three broad phases. The early hominid phase was dedicated largely to the development of protolanguage and an expansion of representations based on bodily gestures, brought about by bipedalism and the freeing of the hands and arms for locomotion. The later, hunter�gatherer phase may have seen the emergence of more generative modes of thought and language, made possible by alterations to the pattern of growth, so that much of the growth of an enlarged brain took place after birth in order to receive progressive imprints from experience. The final, modern phase may have seen the eventual replacement of bodily gestures and forms of representations by a speech code, which freed the hands, and the imagination, for a wider range of generative action. (PsycINFO Database Record (c) 2019 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445422;pi347;Etude du complexe relationnel geste–regard–oralisation chez des enfants autistes âgés de 12 à 36 mois par analyse de films familiaux;"Bernard J L; Adrien J L; Roux S; Barthelemy C";Journal Article;In this research, we studied the evolution of relational gestures and their combination with oralization and gaze in autistic syndrome. The aim was to highlight specificities that would be useful for early diagnosis and care. Home videos of eight boys with autism compared with eight normal boys, 1 to 3 years old, were analyzed using a newly devised model of gestures. Each film was divided into four periods of six months. The results showed that the three expressive modes coincided differently according to the relevant categories and periods. Although the influence of language and development delay were not controlled, these preliminary findings showed that gestures, combined or not with gaze and oralization, are indicators for an early detection of autism. (PsycINFO Database Record (c) 2017 APA, all rights reserved);Excluded;NA;Not in english;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445561;pi348;The emergence of social cognition in three young chimpanzees;"Tomasello M; Carpenter M; Hobson R P ";Journal Article;"Presents an overview of the Monograph The emergence of social cognition in three young chimpanzees (see records [rid]2010-08122-001[/rid]; [rid]2010-08122-002[/rid]; [rid]2010-08122-003[/rid]; [rid]2010-08122-004[/rid]; [rid]2010-08122-005[/rid]; [rid]2010-08122-006[/rid] and [rid]2005-11259-002[/rid]). We report a series of 10 studies on the social-cognitive abilities of three young chimpanzees. The studies were all ones previously conducted with human infants. The chimpanzees were 1-5 years of age, had been raised mostly by humans, and were tested mostly directly by a familiar human experimenter. First, in a longitudinal investigation with repeated measurements from a social-cognitive test battery, the three young chimpanzees were similar in many ways to human infants; the major difference was a total lack of attempts to share attention with others either in joint attentional interactions or through declarative gestures. Second, in imitation-based tests of the understanding of intentional action, the chimpanzees, like human infants, showed an understanding of failed attempts and accidents; but they did not pay attention to the behavioral style of the actor or the actor's reasons for choosing a particular behavioral means. Third, in tests of their understanding of visual perception, the chimpanzees followed the gaze direction of a human to an out-of-sight location behind a barrier and gestured more to a human who could see them than to one who could not; but they showed no understanding that perceivers can focus their attention on one thing, or one aspect of a thing, within their perceptual fields for a reason. Finally, in tests of joint intentions and joint attention, the chimpanzees showed no ability to either reverse roles with a partner in a collaborative interaction or to set up a joint attentional framework for understanding the communicative intentions behind a pointing gesture. Taken together, these findings support the idea that the early ontogeny of human social cognition comprises two distinct trajectories, each with its own evolutionary history: one for understanding the basics of goal-directed action and perception, common to all apes, and another for sharing psychological states with others in collaborative acts-involving joint intentions and attention, unique to the human species. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";Included;Excluded;Not about language evolution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445602;pi349;Homo inventans: The evolution of narrativity;McNeil LD;Journal Article;Argues, from the perspective of cognitive anthropology, that human narrativity has been in our ancestral past (phylogenetically) and continues to be in the present (ontogenetically), a fundamentally rational mode of discourse that is essential to personal and social survival and adaptation. The author addresses (1) what is 'narrativity' defined in the boradest terms as gestural, iconic, kinesthetic, and spoken modalities of communication and (2) where did narrativity originate in cognitive, phylogenetic, and ontogenetic terms and what functions did it serve for evolving humans. A gradualist or continuity approach is adopted, which argues that 'the biological capacity for language evolved slowly and incrementally within the hominid line.' (PsycINFO Database Record (c) 2018 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445644;pi350;The question of chimpanzee culture, plus postscript (Chimpanzee Culture, 2009);Tomasello M;Book Chapter;This reprinted chapter originally appeared in the book, Chimpanzee cultures, 1994, pp. 301-317. (The following abstract of the original article appeared in record [rid]1994-98609-017[/rid].) This chapter addresses the question of chimpanzee culture in 3 ways. It reviews recent research on the types of social learning that chimpanzees and human children employ in 2 domains of particular importance to discussions of chimpanzee culture like tool use and communicatory gesturing. It also attempts to clarify some of the issues involved in the study of chimpanzee social learning and cultural as well as behavioral traditions through a brief look at research using captive chimpanzees raised in human-like cultural environments. This chapter identifies some key characteristics of human cultural traditions and asks if chimpanzee behavioral traditions display these same characteristics. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445486;pi352;Musical communication: The body movements of performance;"Davidson J; Malloch S";Book Chapter;"The role of body movement in creating and communicating music, and in conveying extra-musical meaning during performance, has attracted academic attention. Beyond the obvious need for a body to interact with a musical instrument in order to create musical sounds, the idea has been explored that musical meaning itself originates in the body, that music is experienced as movement (for example, Cox 2001, 2006; Davidson and Correia 2002; Malloch 2005; Cross and Morley, Chapter 5, Lee and Sch�gler, Chapter 6, and Panskepp and Trevarthen, Chapter 7, this volume). Many of these ideas have been inspired by the writing of philosophers Mark Johnson and George Lakoff (Johnson 1987; Johnson and Larson 2003; Lakoff and Johnson 1980, 1999) who argue that the body reveals and shapes all mental states, both conscious and unconscious. We have been excited by these proposals, and have independently researched the role of the body in the creation of expressive musical communication. The second author has investigated the very earliest mother-infant interactions, arguing that caregiver-infant communication is an expression of our intrinsic musicality (Malloch 1999; Trevarthen and Malloch 2000). The first author has been developing the idea that our vocal communication, most typically experienced between adults as speech and filtered through complex social and cultural practices, is a process parallel to our development and production of musical expression. Thus, musical performance might be conceived of as the performer communicating with co-performers and audience through the intrinsic musicality of body movements, the sounds that are produced by the movements of the body being disciplined by cultural practice and performance technique so as to create meaning in a gestural narrative. In this chapter we explore these ideas, and show how our independent research efforts come together to bring practical insights to important theoretical questions around how musical communication takes place. We briefly explore two types of performance as illustrations. First, we consider the performances of Amy Wu, a Cantonese singer, to demonstrate that Amy's vocal sounds and bodily movements co-specify a number of interlocking messages: an interpretation of the song being performed, sociocultural rules relating to performance etiquette, a projected sense of the performer's social self, and an intimate sense of the self revealed by the performer. In other words, the performance is a complex communication within the medium of music, emerging out of a range of communicative principles, including self-awareness. Second, we explore the musical sounds and overall movement patterns of two professional Western classical performers�a flautist and a clarinettist. The emphasis is on how the overall movement patterns change as a function of familiarity with the piece, as well as with the change from playing solo to playing in duet. In particular, we show how the movements permit co-specification of musical expression with co-regulation of movement in time. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445377;pi353;Neandertal vocal tract: Which potential for vowel acoustics?;"Boe L J; Heim J L; Abry C; Badin P";Journal Article;Potential speech abilities constitute a key component in the description of the Neandertals and their relations with modern Homo Sapiens. Since Lieberman & Crelin postulated in 1971 the theory that 'Neanderthal man did not have the anatomical prerequisites for producing the full range of human speech' their speech capability has been a subject of hot debate for over 30 years, and remains a controversial question. In this study, we first question the methodology adopted by Lieberman and Crelin, and we point out articulatory and acoustic flaws in the data and the modeling. Then we propose a general articulatory-acoustic framework for testing the acoustic consequences of the trade-off between oral and pharyngeal cavities. Specifically, following Honda & Tiede (1998), we characterize this trade-off by a Laryngeal Height Index (LHI) corresponding to the length ratio of the pharyngeal cavity to the oral cavity. Using an anthropomorphic articulatory model controlled by lips, jaw, tongue and larynx parameters, we can generate the Maximal Vowel Space (MVS), which is a triangle in the Fl / F2 plane, the three point vowels /a/,/i/, and /u/ being located at its three extremities. We sample the evolution of the position of the larynx from birth to adulthood with four different LHI values, and we show that the associated MVS are very similar. Therefore, the MVS of a given vocal tract does not depend on the LHI: gestures of the tongue body, lips and jaw allow compensations for differences in the ratio between the dimensions of the oral cavity and pharynx. We then infer that the vowel space of Neandertals (with high or low larynx) was potentially no smaller than that of a modern human and that Neandertals could produce all the vowels of the world's languages. Neandertals were no more vocally handicapped than children at birth are. Therefore, there is no reason to believe that the lowering of the larynx and a concomitant increase in pharynx size are necessary evolutionary pre-adaptations for speech. However, since our study is strictly limited to the morphological and acoustic aspects of the vocal tract, we cannot offer any definitive answer to the question of whether Neandertals could produce human speech or not. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22444951;pi354;To move or not to move: How apes adjust to the attentional state of others;"Liebal K; Pika S; Call J; Tomasello M";Journal Article;A previous observational study suggested that when faced with a partner with its back turned, chimpanzees tend to move around to the front of a non-attending partner and then gesture--rather than gesturing once to attract attention and then again to convey a specific intent. We investigated this preference experimentally by presenting six orangutans, five gorillas, nine chimpanzees, and four bonobos with a food begging situation in which we varied the body orientation of an experimenter (E) with respect to the subject (front vs. back) and the location of the food (in front or behind E). These manipulations allowed us to measure whether subjects preferred to move around to face E or to use signals to attract her attention before they begged for food. Results showed that all species moved around to face E and then produced visual gestures, instead of using tactile/ auditory gestures behind E to call her attention. Species differences were apparent particularly when the food and E were in different locations. Unlike gorillas and orangutans, chimpanzees and bonobos (from genus Pan) produced their gestures in front of E in all conditions, including that in which subjects had to leave the food behind to communicate with her. Implications of these results are discussed in the context of the evolution of social cognition in great apes. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Included;Included;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445407;pi355;Manual deixis in apes and humans;Leavens D A;Journal Article;Pointing by apes is near-ubiquitous in captivity, yet rare in their natural habitats. This has implications for understanding both the ontogeny and heritability of pointing, conceived as a behavioral phenotype. The data suggest that the cognitive capacity for manual deixis was possessed by the last common ancestor of humans and the great apes. In this review, nonverbal reference is distinguished from symbolic reference. An operational definition of intentional communication is delineated, citing published or forthcoming examples for each of the denning criteria from studies of manual gestures in apes. Claims that chimpanzees do not point amongst themselves or do not gesture declaratively are refuted with published examples. Links between pointing and cognitive milestones in other domains relating means to ends are discussed. Finally, an evolutionary scenario of pointing as an adaptation to changes in hominid development is briefly sketched. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445404;pi356;Emotional communication in primates: Implications for neurobiology;"Parr L A; Waller  M; Fugate J";Journal Article;The social brain hypothesis proposes that large neocortex size in Homonoids evolved to cope with the increasing demands of complex group living and greater numbers of interindividual relationships. Group living requires that individuals communicate effectively about environmental and internal events. Recent data have highlighted the complexity of chimpanzee communication, including graded facial expressions and referential vocalizations. Among Hominoids, elaborate facial communication is accompanied by specializations in brain areas controlling facial movement. Finally, the evolution of empathy, or emotional awareness, might have a neural basis in specialized cells in the neocortex, that is, spindle cells that have been associated with self-conscious emotions, and mirror neurons that have recently been shown to activate in response to communicative facial gestures. (PsycINFO Database Record (c) 2019 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445645;pi357;Dominance, Status Signals and Coloration in Male Mandrills (Mandrillus sphinx);"Setchell J; Wickings E";Journal Article;Where individuals contest access to a resource, escalated physical fighting presents a risk to all involved. The requirement for mechanisms of conflict management has led to the evolution of a variety of decision rules and signals that act to reduce the frequency of aggression during competitive encounters. We examined strategies of conflict management in male mandrills (Mandrillus sphinx) living in two semi-free-ranging groups in Gabon. Adult male mandrills are large (31 kg), with long canines, making the costs of conflict potentially very high. We found that males formed dominance hierarchies, but that male-male relationships were characterized by avoidance, appeasement and ignoring. Fights were rare, but could result in death. Examination of the relationship between dominance and signaling showed that males use facial and gestural signals to communicate dominance and subordinance, avoiding escalated conflict. Male mandrills also possess rank-dependent red coloration on the face, rump and genitalia, and we examined the hypothesis that this coloration acts as a 'badge of status', communicating male fighting ability to other males. If this is the case, then similarity in color should lead to higher dyadic rates of aggression, while males that differ markedly should resolve encounters quickly, with the paler individual retreating. Indeed, appeasement (the 'grin' display), threats, fights and tense 'stand-off' encounters were significantly more frequent between similarly colored males, while clear submission was more frequent where color differences were large. We conclude that male mandrills employ both formal behavioral indicators of dominance and of subordination, and may also use relative brightness of red coloration to facilitate the assessment of individual differences in fighting ability, thereby regulating the degree of costly, escalated conflict between well-armed males. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445434;pi358;Even broken clocks are right twice a day: The utility of models in the clinical reasoning process;"Rodriguez A D; Rothi L J G";Journal Article;The use of cognitive neuropsychological models in rehabilitation has been widely debated among professionals in a variety of disciplines. Some believe that models can be used to develop 'model-based' treatment, while others maintain that the role of models in rehabilitation is more limited in scope. Despite the debate, it is widely accepted that models do contribute to the rehabilitation process. While models can assist in clinical decision making, it is important to understand the underlying assumptions of the model and be aware that the 'truth' of a model is something we seek and rarely achieve, and this evolution remains a continuing process. This article compares the Praxis Model of Rothi and Heilman (1997) and the Sketch Model of de Ruiter (1998), highlighting the contrasting underlying assumptions regarding the relationship of gesture and language. The limitations of these models is then used as segue for the discussion of the current debate regarding cognitive neuropsychological models and rehabilitation. We conclude with our view that models are assistive rather than directive. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Not focused on gestures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445367;pi359;Cracking the Nonverbal Code: Intercultural Competence and Gesture Recognition Across Cultures;"Molinsky A; Krabbenhoft M; Ambady N; Choi Y S";Journal Article;The purpose of this set of studies was to assess whether the ability to distinguish between real and fake gestures in a foreign setting is positively associated with cultural adjustment to that setting. To do so, we created an original videotaped measure of gesture recognition accuracy (the GRT). Study 1 (n = 508) found positive associations between performance on the GRT and length of stay in the foreign setting and between GRT performance and self-reported intercultural communication competence. Study 2 (n = 60) replicated the positive association between GRT performance and self-reported intercultural communication competence. It also found a positive association between GRT performance and external perceptions of intercultural communication competence and motivation as rated by observers native to the new cultural setting. Together, findings from the two studies highlight the importance of gesture recognition in the cultural adaptation process and the potential of the GRT measure as a useful assessment tool. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Included;Excluded;Non-spontaneous communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
